"District","FIPS","Year","Gender","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2007-2008","Female","Student Enrollment","Number","46"
"Achievement First Bridgeport Academy District","","2007-2008","Male","Student Enrollment","Number","39"
"Achievement First Bridgeport Academy District","","2008-2009","Female","Student Enrollment","Number","89"
"Achievement First Bridgeport Academy District","","2008-2009","Male","Student Enrollment","Number","71"
"Achievement First Bridgeport Academy District","","2009-2010","Female","Student Enrollment","Number","125"
"Achievement First Bridgeport Academy District","","2009-2010","Male","Student Enrollment","Number","113"
"Achievement First Bridgeport Academy District","","2010-2011","Female","Student Enrollment","Number","198"
"Achievement First Bridgeport Academy District","","2010-2011","Male","Student Enrollment","Number","211"
"Achievement First Bridgeport Academy District","","2011-2012","Female","Student Enrollment","Number","256"
"Achievement First Bridgeport Academy District","","2011-2012","Male","Student Enrollment","Number","287"
"Achievement First Bridgeport Academy District","","2012-2013","Female","Student Enrollment","Number","347"
"Achievement First Bridgeport Academy District","","2012-2013","Male","Student Enrollment","Number","355"
"Achievement First Bridgeport Academy District","","2013-2014","Female","Student Enrollment","Number","420"
"Achievement First Bridgeport Academy District","","2013-2014","Male","Student Enrollment","Number","415"
"Achievement First Bridgeport Academy District","","2014-2015","Female","Student Enrollment","Number","484"
"Achievement First Bridgeport Academy District","","2014-2015","Male","Student Enrollment","Number","493"
"Achievement First Bridgeport Academy District","","2015-2016","Female","Student Enrollment","Number","525"
"Achievement First Bridgeport Academy District","","2015-2016","Male","Student Enrollment","Number","491"
"Achievement First Bridgeport Academy District","","2016-2017","Female","Student Enrollment","Number","543"
"Achievement First Bridgeport Academy District","","2016-2017","Male","Student Enrollment","Number","501"
"Achievement First Hartford Academy District","","2007-2008","Female","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2007-2008","Male","Student Enrollment","Number","-6666"
"Achievement First Hartford Academy District","","2008-2009","Female","Student Enrollment","Number","115"
"Achievement First Hartford Academy District","","2008-2009","Male","Student Enrollment","Number","146"
"Achievement First Hartford Academy District","","2009-2010","Female","Student Enrollment","Number","199"
"Achievement First Hartford Academy District","","2009-2010","Male","Student Enrollment","Number","241"
"Achievement First Hartford Academy District","","2010-2011","Female","Student Enrollment","Number","271"
"Achievement First Hartford Academy District","","2010-2011","Male","Student Enrollment","Number","339"
"Achievement First Hartford Academy District","","2011-2012","Female","Student Enrollment","Number","350"
"Achievement First Hartford Academy District","","2011-2012","Male","Student Enrollment","Number","412"
"Achievement First Hartford Academy District","","2012-2013","Female","Student Enrollment","Number","385"
"Achievement First Hartford Academy District","","2012-2013","Male","Student Enrollment","Number","439"
"Achievement First Hartford Academy District","","2013-2014","Female","Student Enrollment","Number","415"
"Achievement First Hartford Academy District","","2013-2014","Male","Student Enrollment","Number","455"
"Achievement First Hartford Academy District","","2014-2015","Female","Student Enrollment","Number","466"
"Achievement First Hartford Academy District","","2014-2015","Male","Student Enrollment","Number","488"
"Achievement First Hartford Academy District","","2015-2016","Female","Student Enrollment","Number","543"
"Achievement First Hartford Academy District","","2015-2016","Male","Student Enrollment","Number","520"
"Achievement First Hartford Academy District","","2016-2017","Female","Student Enrollment","Number","560"
"Achievement First Hartford Academy District","","2016-2017","Male","Student Enrollment","Number","506"
"Amistad Academy District","","2007-2008","Female","Student Enrollment","Number","263"
"Amistad Academy District","","2007-2008","Male","Student Enrollment","Number","284"
"Amistad Academy District","","2008-2009","Female","Student Enrollment","Number","312"
"Amistad Academy District","","2008-2009","Male","Student Enrollment","Number","329"
"Amistad Academy District","","2009-2010","Female","Student Enrollment","Number","378"
"Amistad Academy District","","2009-2010","Male","Student Enrollment","Number","366"
"Amistad Academy District","","2010-2011","Female","Student Enrollment","Number","404"
"Amistad Academy District","","2010-2011","Male","Student Enrollment","Number","408"
"Amistad Academy District","","2011-2012","Female","Student Enrollment","Number","425"
"Amistad Academy District","","2011-2012","Male","Student Enrollment","Number","432"
"Amistad Academy District","","2012-2013","Female","Student Enrollment","Number","442"
"Amistad Academy District","","2012-2013","Male","Student Enrollment","Number","462"
"Amistad Academy District","","2013-2014","Female","Student Enrollment","Number","470"
"Amistad Academy District","","2013-2014","Male","Student Enrollment","Number","467"
"Amistad Academy District","","2014-2015","Female","Student Enrollment","Number","499"
"Amistad Academy District","","2014-2015","Male","Student Enrollment","Number","485"
"Amistad Academy District","","2015-2016","Female","Student Enrollment","Number","536"
"Amistad Academy District","","2015-2016","Male","Student Enrollment","Number","500"
