"Student Counts by District and Gender"
"All Districts"
"2020-21"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Bridgeport Academy District","=""2850013""",600,527,1127
"Achievement First Hartford Academy District","=""2880013""",607,"*",1164
"Amistad Academy District","=""2790013""",628,506,1134
"Andover School District","=""0010011""",87,87,174
"Ansonia School District","=""0020011""",1056,1182,2238
"Area Cooperative Educational Services","=""2440014""",765,1061,1826
"Ashford School District","=""0030011""",170,200,370
"Avon School District","=""0040011""",1580,1548,3128
"Barkhamsted School District","=""0050011""",105,98,203
"Berlin School District","=""0070011""",1330,1385,2715
"Bethany School District","=""0080011""",178,192,370
"Bethel School District","=""0090011""",1467,1622,3089
"Bloomfield School District","=""0110011""",1023,1057,2080
"Bolton School District","=""0120011""","*",378,753
"Booker T. Washington Academy District","=""2950013""",238,242,480
"Bozrah School District","=""0130011""",83,97,180
"Branford School District","=""0140011""","*",1358,2590
"Brass City Charter School District","=""2900013""",188,173,361
"Bridgeport School District","=""0150011""","*",10140,19449
"Bristol School District","=""0170011""","*",3930,7726
"Brookfield School District","=""0180011""",1252,1311,2563
"Brooklyn School District","=""0190011""",410,421,831
"Canaan School District","=""0210011""",31,37,68
"Canterbury School District","=""0220011""",221,214,435
"Canton School District","=""0230011""","*",779,1517
"Capital Preparatory Harbor School District","=""2970013""",381,404,785
"Capitol Region Education Council","=""2410014""",4502,"*",8799
"Chaplin School District","=""0240011""",62,69,131
"Cheshire School District","=""0250011""","*",2098,4122
"Chester School District","=""0260011""","*",103,201
"Clinton School District","=""0270011""",738,832,1570
"Colchester School District","=""0280011""",1055,1138,2193
"Colebrook School District","=""0290011""",26,49,75
"Columbia School District","=""0300011""",179,223,402
"Common Ground High School District","=""2680013""","*",136,236
"Connecticut Technical Education and Career System","=""9000016""",4448,6883,11338
"Cooperative Educational Services","=""2430014""",307,482,789
"Cornwall School District","=""0310011""",53,51,104
"Coventry School District","=""0320011""",809,"*",1606
"Cromwell School District","=""0330011""","*",1028,1989
"Danbury School District","=""0340011""","*",6153,11834
"Darien School District","=""0350011""",2248,2434,4682
"Deep River School District","=""0360011""",104,114,218
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",573,661,1234
"East Granby School District","=""0400011""",387,447,834
"East Haddam School District","=""0410011""",431,504,935
"East Hampton School District","=""0420011""","*",916,1824
"East Hartford School District","=""0430011""",3125,3456,6581
"East Haven School District","=""0440011""","*",1413,2801
"East Lyme School District","=""0450011""",1285,1327,2612
"East Windsor School District","=""0470011""",505,545,1050
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",222,"*",444
"Eastford School District","=""0390011""",67,73,140
"Easton School District","=""0460011""",413,445,858
"EdAdvance","=""2420014""",98,130,228
"Ellington School District","=""0480011""",1275,1351,2626
"Elm City College Preparatory School District","=""2890013""",400,374,774
"Elm City Montessori School District","=""2910013""",129,130,259
"Enfield School District","=""0490011""","*",2565,4921
"Essex School District","=""0500011""",152,161,313
"Explorations District","=""2720013""","*",45,86
"Fairfield School District","=""0510011""","*",4832,9444
"Farmington School District","=""0520011""",2006,2080,4086
"Franklin School District","=""0530011""","*",86,165
"Glastonbury School District","=""0540011""","*",2930,5758
"Granby School District","=""0560011""",835,894,1729
"Great Oaks Charter School District","=""2940013""",328,342,670
"Greenwich School District","=""0570011""","*",4574,8796
"Griswold School District","=""0580011""",827,844,1671
"Groton School District","=""0590011""",1951,2117,4068
"Guilford School District","=""0600011""","*",1622,3105
"Hamden School District","=""0620011""",2545,2799,5344
"Hampton School District","=""0630011""",32,41,73
"Hartford School District","=""0640011""","*",9198,17733
"Hartland School District","=""0650011""",63,82,145
"Hebron School District","=""0670011""",311,325,636
"Highville Charter School District","=""2860013""",257,190,447
"Integrated Day Charter School District","=""2640013""",181,172,353
"Interdistrict School for Arts and Comm District","=""2650013""",138,143,281
"Jumoke Academy District","=""2610013""",358,"*",686
"Kent School District","=""0680011""",93,114,207
"Killingly School District","=""0690011""",1184,"*",2336
"Learn","=""2450014""",1175,1184,2359
"Lebanon School District","=""0710011""",446,502,948
"Ledyard School District","=""0720011""",1168,1183,2358
"Lisbon School District","=""0730011""",222,208,430
"Litchfield School District","=""0740011""","*",415,821
"Madison School District","=""0760011""","*",1340,2478
"Manchester School District","=""0770011""",2880,3211,6091
"Mansfield School District","=""0780011""",531,508,1039
"Marlborough School District","=""0790011""",213,229,442
"Meriden School District","=""0800011""","*",4186,8118
"Middletown School District","=""0830011""","*",2237,4409
"Milford School District","=""0840011""",2644,2789,5433
"Monroe School District","=""0850011""",1590,"*",3179
"Montville School District","=""0860011""","*",1019,1964
"Naugatuck School District","=""0880011""","*",2211,4255
"New Beginnings Inc Family Academy District","=""2800013""",256,246,502
"New Britain School District","=""0890011""",4600,5065,9665
"New Canaan School District","=""0900011""",2077,2155,4232
"New Fairfield School District","=""0910011""",1070,1062,2132
"New Hartford School District","=""0920011""",203,217,420
"New Haven School District","=""0930011""",9955,10096,20051
"New London School District","=""0950011""",1572,1725,3297
"New Milford School District","=""0960011""","*",1916,3733
"Newington School District","=""0940011""",1978,1996,3974
"Newtown School District","=""0970011""","*",2044,4053
"Norfolk School District","=""0980011""",38,42,80
"North Branford School District","=""0990011""","*",812,1615
"North Canaan School District","=""1000011""",123,125,248
"North Haven School District","=""1010011""",1517,1576,3093
"North Stonington School District","=""1020011""",348,359,707
"Norwalk School District","=""1030011""","*",6011,11579
"Norwich Free Academy District","=""9010022""",1134,"*",2113
"Norwich School District","=""1040011""",1596,1781,3377
"Odyssey Community School District","=""2630013""",167,161,328
"Old Saybrook School District","=""1060011""",528,546,1074
"Orange School District","=""1070011""",591,643,1234
"Oxford School District","=""1080011""",811,807,1618
"Park City Prep Charter School District","=""2830013""",183,177,360
"Plainfield School District","=""1090011""",1005,1005,2010
"Plainville School District","=""1100011""",1066,1199,2265
"Plymouth School District","=""1110011""","*",687,1300
"Pomfret School District","=""1120011""",154,185,339
"Portland School District","=""1130011""","*",663,1279
"Preston School District","=""1140011""",197,208,405
"Putnam School District","=""1160011""",538,576,1114
"Redding School District","=""1170011""",395,411,806
"Regional School District 01","=""2010012""",164,"*",323
"Regional School District 04","=""2040012""","*",422,838
"Regional School District 05","=""2050012""",1064,1120,2184
"Regional School District 06","=""2060012""",454,"*",880
"Regional School District 07","=""2070012""",515,476,991
"Regional School District 08","=""2080012""","*",669,1302
"Regional School District 09","=""2090012""",414,421,835
"Regional School District 10","=""2100012""",1037,1164,2201
"Regional School District 11","=""2110012""",91,114,205
"Regional School District 12","=""2120012""",364,324,688
"Regional School District 13","=""2130012""",729,711,1440
"Regional School District 14","=""2140012""",828,752,1580
"Regional School District 15","=""2150012""",1694,1819,3513
"Regional School District 16","=""2160012""",991,1010,2001
"Regional School District 17","=""2170012""","*",951,1849
"Regional School District 18","=""2180012""",625,658,1283
"Regional School District 19","=""2190012""",591,514,1105
"Ridgefield School District","=""1180011""","*",2332,4556
"Rocky Hill School District","=""1190011""",1351,1291,2642
"Salem School District","=""1210011""",196,194,390
"Salisbury School District","=""1220011""",152,158,310
"Scotland School District","=""1230011""",46,42,88
"Seymour School District","=""1240011""",1028,1082,2110
"Sharon School District","=""1250011""",49,63,112
"Shelton School District","=""1260011""","*",2301,4405
"Sherman School District","=""1270011""",134,118,252
"Side By Side Charter School District","=""2700013""",122,113,235
"Simsbury School District","=""1280011""",1975,2047,4022
"Somers School District","=""1290011""","*",659,1305
"South Windsor School District","=""1320011""","*",2352,4558
"Southington School District","=""1310011""",3065,3125,6190
"Sprague School District","=""1330011""","*",142,254
"Stafford School District","=""1340011""","*",683,1352
"Stamford Charter School for Excellence District","=""2960013""",209,182,391
"Stamford School District","=""1350011""","*",8456,16273
"Sterling School District","=""1360011""",140,172,312
"Stonington School District","=""1370011""",948,953,1901
"Stratford School District","=""1380011""",3257,3442,6699
"Suffield School District","=""1390011""",1050,"*",2073
"The Bridge Academy District","=""2690013""",144,137,281
"The Gilbert School District","=""9020022""",208,244,452
"The Woodstock Academy District","=""9030022""","*",523,1044
"Thomaston School District","=""1400011""",424,401,825
"Thompson School District","=""1410011""",452,524,976
"Tolland School District","=""1420011""",1102,1179,2281
"Torrington School District","=""1430011""","*",1968,3704
"Trumbull School District","=""1440011""",3247,3492,6739
"Unified School District #1","=""3360015""","*","*",145
"Unified School District #2","=""3470015""",34,41,75
"Union School District","=""1450011""",26,"*","*"
"Vernon School District","=""1460011""","*",1537,3050
"Voluntown School District","=""1470011""",122,126,248
"Wallingford School District","=""1480011""","*",2743,5451
"Waterbury School District","=""1510011""",8863,9587,18450
"Waterford School District","=""1520011""",1174,1193,2367
"Watertown School District","=""1530011""",1186,1453,2639
"West Hartford School District","=""1550011""","*",4670,9205
"West Haven School District","=""1560011""",2701,3100,5801
"Westbrook School District","=""1540011""",325,325,650
"Weston School District","=""1570011""",1088,1190,2278
"Westport School District","=""1580011""","*",2707,5358
"Wethersfield School District","=""1590011""",1778,1796,3574
"Willington School District","=""1600011""",189,209,398
"Wilton School District","=""1610011""",1902,1821,3723
"Winchester School District","=""1620011""","*",278,554
"Windham School District","=""1630011""",1555,1701,3256
"Windsor Locks School District","=""1650011""",770,764,1534
"Windsor School District","=""1640011""",1628,1697,3325
"Wolcott School District","=""1660011""",1047,1113,2160
"Woodbridge School District","=""1670011""",373,444,817
"Woodstock School District","=""1690011""",416,382,798
"Total","=""""",248525,264440,513079

